name,movie,drama
Yedang Entertainment,True,False
Production M,True,False
SSFilm,True,False
지담,False,True
서울애니메이션,False,True
C&Film,True,False
Naver TVCast,True,True
Barunson,True,True
미라클필름,True,False
UFO Films,True,False
Legend Pictures,True,False
Dai Won Animation Co. Ltd,True,False
P.U.R.N Production,True,False
시네마루,True,False
Shiseido Co. Ltd.,True,False
KT alpha,True,True
Daegu Media Center,True,False
"Se Kyung Films Co., Ltd",True,False
Jayuro Pictures,True,False
KnJ Entertainment,True,False
Dok-ri Production Company,True,False
Iden Pictures,True,False
"Duson Films Co., Ltd",True,False
Lei Men Enterprises,True,False
Korean Films Co.,True,False
Sony Pictures International Productions,True,False
CMNYX,True,False
ANITOART Inc.,True,False
Visual Walkabout,True,False
Gom Pictures,True,False
Bean Film,True,False
Studio Lico,True,True
iQIYI Pictures,False,True
Spectacular Trading International,True,False
Fontana Productions,True,False
ICONIX Co.Ltd,True,False
Mobetter Film,True,False
INDInational,True,False
두리컴,True,False
영화적순간,True,False
ICE BUTTER,True,False
Les Films de L'Observatoire,True,False
MOTTO,True,False
"Hwa Seong Films Co., Ltd",True,False
AJIP,True,False
Mezzo Media,False,True
Cinergy,True,False
Neungso Film co.,True,False
IB Pictures,True,False
Studio Up,True,False
Bluetree Pictures,True,False
MUTV,True,False
SSD,False,True
P NATION,True,False
Kkuljam Company,True,False
Rubicon Pictures,True,False
Strawberry Tree Pictures,True,False
Korean Film,True,False
Fantagio,True,True
Studio By The Library,True,False
동남아영화공사,True,False
Korea Entertainment,True,False
디시플린,False,True
Kirin Productions,True,True
T2N Media,False,True
IJ Entertainment 02,False,True
Four Seasons of Younghwasa,True,False
Fiction Bank,True,False
스튜디오 홀호리,False,True
Watermelon Pictures,True,False
Object Films,True,False
Grama Filmes,True,False
filmK,True,True
BH Entertainment,True,True
최종수,False,True
MODT Studio,False,True
JYP Entertainment,True,True
Hiharbor Pictures,True,False
Semicolon Studio,True,False
K-Arts,True,False
Jeonwonsa Film,True,False
Studio Take,True,False
Content Zium,True,True
Nabu Films,True,False
Lee Production,True,False
Plus M Entertainment,True,True
Generation Blue Films,True,True
Dong-A Cultural Association,True,False
PSN South Korea,True,False
Gnos,True,False
Contents Panda,True,False
ateod,False,True
Warner Bros. Korea,True,False
Atlas V,True,False
Film New Wave,True,False
Two-eyed Film,True,False
Lotte Cultureworks,False,True
Dingo Studios,False,True
Studio Mir,False,True
Filmark International Ltd,True,False
Daewoo Media & Filmed Entertainment,True,False
Big Wave Entertainment,False,True
배선환,True,False
Logos Film,False,True
Realies Pictures,True,False
"Jeil Films Co., Ltd.",True,False
오피오티픽쳐스,True,False
에스피스,False,True
Studio Gage,True,False
Seoul Animation Center,True,False
YG Studioplex,False,True
Film Nang,True,False
Chungju Film Company,True,False
KADOKAWA,True,False
Stone Comics Entertainment,True,False
TPS Company,True,False
Eun Young Co.,True,False
M-Line,True,False
Studio Gale,False,True
Fox International Productions Korea,True,False
Insight Film,True,True
Chung-Ang University,True,False
Studio Leeha,True,False
Baa-Ram-Ewe,True,False
Merry Christmas,True,True
Landmark Asia Holdings,True,False
iWill Media,False,True
Gyeongseong Studio,True,False
Center for Asian American Media Production,True,False
Sea Star Pictures,True,False
Kim Ki Duk Film,True,False
Doosan Films,True,False
Twinfilm,True,True
Gunpowder & Sky,True,False
Next Scene,False,True
스타포스,False,True
Film Line,True,False
Side Mirror,True,False
Fabian&Fred GmbH,True,False
J Pictures,True,False
Kangho Production,False,True
Popcorn Film,True,False
Chosun Culture and Film Association,True,False
Cinesoul,True,False
ANEW,True,False
Yworks Entertainment,True,True
Rainydays Pictures,True,False
Dae-jin Films,True,False
PROJECT318,False,True
Hyangrinwon,True,False
Brother Pictures,True,False
U.S.I.S.,True,False
Kim Ki-young Production,True,False
Stareast Digital Laboratory,True,False
Hyeon-jin Films,True,False
Mesai,True,False
영화사 장춘,True,False
Siz Entertainment,True,False
Megaphone,True,True
Hong Film,True,False
Seoul Broadcasting System,True,True
Yoon's Color,False,True
Showbox,True,True
RG Animation Studios,True,False
선양흥업주식회사,True,False
Dima Entertainment,True,False
Road Pictures,True,False
오소호필름,True,False
ES Pictures,True,False
TSJ Entertainment,True,False
9Ato Entertainment,False,True
Burning Tree Pictures,True,False
스토리풀,True,False
Studio Anic,False,True
MNET,False,True
"Abraxas Co., Ltd.",True,False
WM Entertainment,True,False
Romero film,True,False
Danacreative,True,False
Frame H Contents Group,True,False
Candle Media,True,False
(합)알지애니메이션스튜디오,True,False
EO Contents,True,False
고집 스튜디오,True,False
Hyeondae Film,True,False
More In Group,True,False
Culture Cap Media,True,False
Daekyung Chemical Co.,True,False
Saram Entertainment,True,True
Groove Corporation,True,False
APPIA STUDIO,True,False
Urim Film Company,True,False
LEESANGWOO FILM,True,False
Poulet-Malassis,True,False
DR,True,False
Cheum Film,True,False
Warner Bros. Japan,True,False
Gil Pictures,False,True
Picasso Films,True,False
Indiestory,True,False
"Dong-A Trading Co.,Ltd.",True,False
Paramount Vantage,True,False
Curtain Call Media,False,True
Golden Bridge Asset Management,True,False
고려영화협회,True,False
203 Project,False,True
Sungbong Film,True,False
목영엘티디,True,False
Jeonju International Film Festival,True,False
Starship Entertainment,True,False
Don Quixote Entertainment,True,False
The Moon C&M,False,True
Team Wang,True,False
Parade Pictures,True,False
gramfilms,True,False
Joy Company inc.,True,False
Wooso Pictures,True,False
SM Entertainment,True,True
Yeonbang Movies,True,False
CalArts,True,False
37th Degree,True,True
exposed film,True,False
Jeong Gi-tag Production,True,False
Sonokong,False,True
무니필름,True,False
Singapore Film Commission,True,False
Seoul Films,True,False
Moonstone Entertainment,True,False
Dae Yang Films,True,False
Contents Village,True,False
CinekiD,True,False
Kookje Daily News,True,False
Cocktail Media,True,False
Starlight Culture Entertainment Group,True,False
Challan Film,True,False
(사)대구국제뮤지컬페스티벌,True,False
Myung Films,True,False
Man of Action Entertainment,False,True
XLPICTURES,False,True
HB Entertainment,True,True
Chung-Ang Univ Animation Lab,True,False
yes h,True,False
MI,False,True
Seyoung Lee Film,True,False
Joyoung Films,True,False
Joseon-yeheungsa,True,False
Jaihong Juhn Film,True,False
Cinemasia,True,False
Toei Company,True,True
SynergySP,False,True
Bridge Production,True,False
Production KEZR,True,True
Vol Media,True,False
Beijing Film,True,False
2X9,True,False
C9 Entertainment,True,False
Story TV,False,True
Koryo kinema,True,False
Haerangsa,True,False
Wys En Scène,True,False
Story Cha,True,False
Playlist Studio,False,True
emart,True,False
Kaidu Club,True,False
Signal Entertainment Group,False,True
KJK Film,True,False
KINEMAFACTORY,True,False
MARO STUDIO,True,False
Hausofteam,True,False
Samboo Finance Entertainment,True,False
CJ 4DFLEX,True,False
Patagonia,True,False
Locus Creative Studios,True,False
MoonWatcher,True,True
Daekyung,True,False
tv chosun,False,True
12 journey,True,False
Page One Film,False,True
Curo Holdings,True,True
Golden Fish Pictures,True,False
KTV,True,False
Film Bongok,True,False
Salpa Films Pvt. Ltd,True,False
Studio dhL,True,False
Panorama Studios,True,False
Dae Han Promotion,True,False
20th Century Fox,True,False
acom,True,False
FNC Entertainment,True,True
Enlightenment Film Association,True,False
National Human Rights Commission of Korea,True,False
OK Records,True,False
Live Nation Korea,True,False
Arizona Films,True,False
Ffango Entertoyment,True,False
Kim Jong-hak Production,False,True
Hanyang Films,True,False
XANADU Entertainment,False,True
Road House,True,False
Mr. Romance,True,True
JDB ENTERTAINMENT,True,False
Park Jong-ho Productions,True,False
Company Sang Sang,True,True
Studio Wavve,True,True
J Team,True,False
3Mana Creative,False,True
Samseong Film,True,False
Kiwi Media Group,True,False
Fineworks,True,False
Yuhan College Animation,True,False
Mystery Friends Studio,True,False
Curious Pictures,True,False
Studio 605,False,True
Siren Pictures,True,True
Muhan Investment,True,False
Aurora Films,True,False
Baekho Films,True,False
EMK,True,False
BakSu Entertainment,True,False
SNL Studios,False,True
Harbin,True,False
Appletree Pictures,False,True
Jidam Inc.,False,True
9taleskorea,True,False
Childhood Productions,True,False
M2,True,False
Malgum Pictures,True,False
4th Creative Party,True,False
NOW OR NEVER,True,False
Art Cinema,True,False
Filma Pictures,True,False
Core Studio,True,False
Sidus,True,True
Pak Bu San,True,False
Cheongryong Production,True,False
WAHO ENTERTAINMENT,True,False
Blockberry Creative,True,True
"Hwa Jin Films Co., Ltd",True,False
Ik Young Films,True,False
Egg is Coming,False,True
UFO Production,False,True
Mystery Pictures,True,False
Aha Productions,True,False
Transparent Arts,True,False
Korea February 8 Film Studio,True,False
MK2 Films,True,False
Bori Pictures,True,False
Mimi World,False,True
EDAM Entertainment,True,False
MOVement,True,False
M&FC,True,False
VON,True,False
Climax Studios,True,True
Sunshine Film,True,False
Yellow Films,False,True
curuki Studio,True,False
Minch&Films,True,False
Neon Productions,True,False
Picsso,True,False
Post Fin,True,False
Kaijyu Theater,True,False
"Style Life Co., Ltd.",True,False
Dream Station,True,False
Humoring The Fates,True,False
Warm Front Film Productions,True,False
Hoonpro,True,False
New Line Cinema,True,False
"Hwa Pung Enterprises Co., Ltd",True,False
PLUSMedia Entertainment,True,True
(주)유비콘텐츠,True,False
Michigan Venture Capital,True,False
Grimae,True,False
The Lot Pictures,True,False
OCN,True,True
Leeyang Film,True,False
Chung Gang Story,True,False
JO Entertainment,True,False
Studio Nominum,True,False
Ozi Film,True,False
Chungeorahm Film,True,False
Nomad Films,True,False
Make Us,False,True
Filmmaker R&K,True,False
SEK Studio,True,False
Cube Entertainment,True,False
The Contents On,True,False
DANEW FILM,True,False
Sae Bit Film Production,True,False
Joseon Kinema Productions,True,False
Each-Other,True,False
Cineline 2,True,False
Hyeobdong-yesuljwa,True,False
Superfiction,True,False
Palette Pictures,True,False
Sam-ho Films,True,False
Timefixer,True,False
Open The Portal,True,False
Woo-jin Films,True,False
Terasource Venture Capital Co. Ltd,True,False
"Seijin Film Co., Ltd.",True,False
Yoon&Company Inc.,False,True
Daeil Film,True,False
Huayi Brothers Pictures,True,False
Film Mania,True,False
Seoul Metropolitan Office of Education,True,False
H Plus Communication,True,False
HwangKiSung Films,True,False
VIVO,True,False
Oscar 10 Studio,True,False
Uisig Films,True,False
메이퀸픽쳐스,False,True
프로덕션M,True,False
영화사 레드카펫,True,False
Rhythm and Blues Film,True,False
Rakueisha,True,False
Dongwoo A&E,False,True
Odoltogi,True,False
Broadway Video,False,True
영화사 일취월장,True,True
Seong Yeon Entertainment,True,False
Social Capital,True,False
Chosun Film Arts Association,True,False
웃음을 주는 영화,True,False
Woo Sung Enterprises,True,False
Union Investment Partners,True,True
Busan MBC,True,False
WiseWolf Co,True,False
BlueStorm,True,False
Bidangil Pictures,True,False
Group Eight,False,True
Storyforest,True,True
Choirock Contents Factory,True,True
Showgate,True,False
MILESTONE COMPANY,True,False
Shin Films,True,False
Aniplex,False,True
Verdi Media,True,True
OAK Films,True,False
Sangnam Film Studio,True,False
세종대학교,True,False
Maybe More That,True,False
(주)케이피에이기획,True,False
S27 Entertainment,True,False
Final Cut for Real,True,False
Han Hyeong-mo Production,True,False
Gyeonggi Film Commission,True,False
Humaniterra Pictures,True,False
SLL,True,True
Rod Pictures,True,False
SNK Pictures,True,False
"Yoo Young Film Co., Ltd.",True,False
"Nam A Enterprises Co., Ltd",True,False
Baby Volcano Films,True,False
M&M International,True,False
CCTV-9,False,True
Dong Ir Movie,True,False
Häivekuva Oy,True,False
Sanai Pictures,True,True
gold taiden Pictures,True,False
Mogabi Pictures,True,False
JC Infinity Co.LTD,True,False
Central Films,True,False
Monster Factory,True,False
Giraffe Pictures,True,False
Seki Trading,True,False
Opus Pictures,True,False
Jin Film,True,False
피타팻스튜디오,False,True
tvN,True,True
Forest Film,True,False
YG Entertainment,True,True
Finecut,True,True
Polaris Production,True,False
Iroom Pictures,True,False
Teddy Roh Productions,True,False
Blaad Studios,True,True
Geukdong Film,True,False
Andergraun Films,True,False
Daydream,True,True
Takeshobo,True,False
Covenant Pictures,False,True
416 Network,True,False
Geumgang kinema,True,False
고래픽처스,False,True
"Hwang Ki Sung Production Co., Ltd",True,False
KwangHwaMoon Cinema,True,False
SonaFilms,True,False
Digital Network Animation,True,False
Nova Film,True,False
A- Jeon- In- Soo,True,False
SK Planet,True,False
Studio Invictus,False,True
Studio S,False,True
Spotlight,True,False
Studio Ho,True,False
Rakuten Viki,True,True
Caper Film,True,False
무서운영화,True,False
Free film company,True,False
NHK,True,False
Nowhere Production,True,False
Moviecam,True,False
UniKorea Pictures,True,False
소금빛미디어(주),False,True
tvN D STUDIO,False,True
A KIMCHI MOVIE PRODUCTION,True,False
Korean Film Archive,True,False
云龙乐天（北京）影视文化传媒有限公司,True,False
Show East,True,False
Cheong Woo Film,True,False
TV Tokyo,False,True
Between the pictures,True,False
Ground Guard Artillery Corps,True,False
Studio Zazac,True,False
Tae Baek Films,True,False
Dreamcatcher Company,True,False
Dreamfact Entertainment,True,False
코너스톤픽쳐스,False,True
Dongnyuk Film,True,False
GNOSIS COMPANY,True,True
모그픽쳐스,True,False
Field of Vision,True,False
D&D Media Do.,True,False
BYUS ENT,True,False
Aura Pictures,True,False
MAGNUM9,True,True
HJ Film,True,False
Studio Santa Claus Entertainment,True,True
Nam Production,True,False
CNC,True,False
HYBE,True,True
Kenaz,False,True
Highconcept Pictures,True,False
Kodansha,True,False
Deok-yeong Films,True,False
Cheong-gu kinema,True,False
Film Momentum,True,False
Camp Entertainment,True,False
Dalpaengee,True,False
Movienet Film Productions,True,False
Lucy Film,True,False
Zürcher Hochschule der Künste ZHdK Departement Darstellende Künste und Film,True,False
OAL,True,False
Trinity Pictures,True,False
(주)마이더스필름,True,False
Zio Entertainment,True,False
Pan Entertainment,False,True
Nogari Film,True,False
ASCENDIO,True,True
Ministry of Science and ICT,True,False
Digipedi,True,False
Flaneur Films,True,False
Culture Depot,False,True
Like Contents,True,False
Film Train,True,False
Kukje Movies,True,False
Dhutayeon,True,False
Seoul Kinosa,True,False
Mnet,False,True
Above the Line Productions,True,False
Film Company YOUN,True,False
Mains Entertainment,True,False
Olive 9,False,True
Nogseong Kinema,True,False
Zonbo Media,True,False
Only One Movie,True,False
Blossom Pictures,True,False
Eun-seong Films,True,False
Dae Dong Enterprises,True,False
Style Chosun,True,False
Jellyfish Entertainment,True,False
Studio Dadashow,True,False
Mindullae Pictures,True,False
Mountain Pictures,True,False
Hyun Jin Films,True,False
Source Music,True,False
KD Media,True,False
Korea Independent Animation Filmakers Association (KIAFA),True,False
Tadoh,True,False
Centurion Investment,True,False
VAST Entertainment,True,False
Koo & Cee Film,True,False
Contents Map,False,True
Westworld Story,False,True
KOEN,False,True
Hongik University,True,False
Dong In Productions,True,False
Stonebridge Capital Inc.,True,True
MyMusicTaste,True,False
Hanjin Enterprises Company,True,False
Mini Film Productions,True,False
Formula Entertainment,True,False
Phobos,True,False
(주)메이크아트,True,False
Cine2000,True,False
Nanna film,True,False
Changgeun Jeon Production,True,False
CGV Arthouse,True,False
Newstapa,True,False
"Kuk Dong Screen Co., Ltd.",True,False
Dreammax,True,False
㈜광대무변,True,False
Intz.com,True,False
Woollim Entertainment,True,True
Pinehouse Film,True,False
양전프로덕션,True,False
Korea National University of Arts,True,False
KINO,True,False
MayQueen Pictures,False,True
LCO,True,False
永康水滴影业有限公司,True,False
에스와이미디어,True,False
Prime Entertainment,True,False
Blue Film Works,True,False
Solar Film Company [kr],True,False
Seorabyol dmz Films,True,False
Interactive Media Mix,False,True
KPJ,False,True
"Pop Entertainment Co., Ltd.",True,False
금강기획,False,True
Polygon Entertainment,True,False
The Pinkfong Company,True,True
Contents Wing,True,False
"Morgard Korea Co., Ltd.",True,False
Shochiku,True,False
Liberty in North Korea,True,False
"Ministry of Culture, Sports and Tourism",True,True
Gyro Studios,True,False
CDM Productions,True,True
October Pictures,True,False
SBS Contents Hub,True,True
K&Entertainment,True,False
Good Movie Company,True,False
Ace Factory,True,True
GYAO,True,False
Tonic Project,True,False
Motion Picture Promotion Company,True,False
tvN D,False,True
Art Hill,True,False
Kino-Eye Films,True,False
October Cinema,True,False
Universal Animation Studios,True,False
Sego Entertainment,True,False
Spotlight Pictures,True,False
Oasis Pictures,False,True
TreeFilm,True,False
Taipei Film Commission,True,False
Ashi Productions,False,True
Bluebird Pictures,True,False
Hap Dong Film,True,False
Film Dorothy,True,True
Studio HIM,True,True
BTV Kaku Children's Satellite TV,True,False
Hollywood Media Bridge,True,False
AD406,True,True
SK Broadband,True,True
Na Ungyu Production,True,False
Milkpictures,True,False
대원동화,True,True
Hwaseong Co.,True,False
시네마허브,True,False
d-rights,False,True
YLAB,False,True
Phước Sang Film,True,False
Sung Il Cinemart,True,False
Samhwa Networks,True,True
Liberty Production (KR),True,False
U-Story9,False,True
Daeyang Movies,True,False
D Station (KR),True,False
RealGoneCinemaTto,True,False
Parts and Labor,True,False
iPictures,True,False
Nerd Joke Film,True,False
Compass Pictures,False,True
Emotion Studio,True,False
Hwacheon Trading,True,False
